ip_address,network,continent_code,continent_name,country_is_in_european_union,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,postal_code,latitude,longitude,accuracy_radius,registered_country_is_in_european_union,registered_country_iso_code,represented_country_is_in_european_union,represented_country_iso_code,represented_country_type,is_anonymous_proxy,is_satellite_provider,autonomous_system_number,autonomous_system_organization,domain,isp,organization,static_ip_score,user_type,country_confidence,subdivision_confidence,city_confidence,postal_confidence,population_density,average_income,user_count,is_anonymous,is_anonymous_vpn,is_tor_exit_node,is_hosting_provider,is_public_proxy,error
192.3.143.122,192.3.143.96/27,NA,North America,,US,United States,NY,New York,Buffalo,514,14202,42.8864,-78.8781,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,40,10,1,1040,27848,,1,,,1,,
23.94.32.85,23.94.32.64/26,NA,North America,,US,United States,NY,New York,Buffalo,514,14202,42.8864,-78.8781,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,80,20,20,10,934,24429,,1,,,1,,
196.196.86.119,196.196.86.118/31,NA,North America,,US,United States,GA,Georgia,Atlanta,524,30303,33.7553,-84.3886,50,,US,,,,,,57858,Inter Connects Inc,,Fiber Grid Inc,Inter Connects Inc,,hosting,99,0,0,0,,,,1,,,1,,
35.239.29.166,35.239.28.0/23,NA,North America,,US,United States,VA,Virginia,,,,38.6583,-77.2481,1000,,US,,,,,,15169,Google LLC,googleusercontent.com,Google Cloud,Google Cloud,,hosting,99,60,,,,,,1,,,1,,
185.121.138.25,185.121.138.0/25,EU,Europe,1,GB,United Kingdom,,,,,,51.4964,-0.1224,200,1,GB,,,,,,25369,Hydra Communications Ltd,zare.com,Hydra Communications Ltd,Hydra Communications Ltd,,hosting,99,,,,,,,1,,,1,,
37.220.22.131,37.220.22.131/32,EU,Europe,1,GB,United Kingdom,,,,,,51.4964,-0.1224,200,1,GB,,,,,,20860,Iomart Cloud Services Limited,redstation.co.uk,Redstation Limited,Dedicated Server Hosting,,hosting,99,,,,,,1,1,,,1,,
193.107.200.91,193.107.200.88/30,EU,Europe,,UA,Ukraine,,,,,,50.4522,30.5287,500,,UA,,,,,,30860,Virtual Systems LLC,offshorededicated.net,Bozhko Oleksandr Mykolajovych,v-sys.org,,hosting,99,,,,,,,1,,,1,,
35.184.21.92,35.184.21.92/32,NA,North America,,US,United States,VA,Virginia,,,,38.6583,-77.2481,1000,,US,,,,,,15169,Google LLC,googleusercontent.com,Google Cloud,Google Cloud,,hosting,99,60,,,,,20,1,,,1,,
113.81.31.124,113.81.31.64/26,AS,Asia,,CN,China,GD,Guangdong,Guangzhou,,,23.1167,113.25,50,,CN,,,,,,4134,"No.31,Jin-rong Street",,China Telecom,China Telecom,4.7,residential,99,90,60,,,,,,,,,,
37.115.216.65,37.115.216.0/25,EU,Europe,,UA,Ukraine,30,Kyiv City,Kyiv,,03048,50.4332,30.5219,20,,UA,,,,,,15895,Kyivstar PJSC,kyivstar.net,Kyivstar PJSC,Kyivstar,32.6,residential,80,60,60,1,,,,,,,,,
37.229.197.178,37.229.197.128/25,EU,Europe,,UA,Ukraine,30,Kyiv City,Kyiv,,02091,50.4543,30.5251,20,,UA,,,,,,15895,Kyivstar PJSC,kyivstar.net,Kyivstar PJSC,Kyivstar,55.5,residential,90,70,70,30,,,,,,,,,
113.81.28.101,113.81.28.64/26,AS,Asia,,CN,China,GD,Guangdong,Guangzhou,,,23.1167,113.25,50,,CN,,,,,,4134,"No.31,Jin-rong Street",,China Telecom,China Telecom,4.7,residential,99,90,60,,,,,,,,,,
183.30.187.3,183.30.187.0/28,AS,Asia,,CN,China,GD,Guangdong,Guangzhou,,,23.1167,113.25,100,,CN,,,,,,4134,"No.31,Jin-rong Street",,China Telecom,China Telecom,5,residential,99,80,60,,,,,,,,,,
113.81.29.210,113.81.29.192/27,AS,Asia,,CN,China,GD,Guangdong,Guangzhou,,,23.1167,113.25,50,,CN,,,,,,4134,"No.31,Jin-rong Street",,China Telecom,China Telecom,4.7,residential,99,90,60,,,,,,,,,,
37.220.22.174,37.220.22.174/32,EU,Europe,1,GB,United Kingdom,,,,,,51.4964,-0.1224,200,1,GB,,,,,,20860,Iomart Cloud Services Limited,redstation.co.uk,Redstation Limited,Dedicated Server Hosting,,hosting,99,,,,,,1,1,,,1,,
166.62.38.222,166.62.38.222/32,NA,North America,,US,United States,AZ,Arizona,Scottsdale,753,85260,33.6013,-111.8867,1000,,US,,,,,,26496,"GoDaddy.com, LLC",secureserver.net,"GoDaddy.com, LLC","GoDaddy.com, LLC",,hosting,99,60,20,10,,,4,1,,,1,1,
107.175.108.77,107.175.108.76/30,NA,North America,,US,United States,NY,New York,Buffalo,514,14202,42.8864,-78.8781,1000,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,60,20,10,,,,1,,,1,,
190.7.112.9,190.7.112.8/31,SA,South America,,CO,Colombia,ANT,Antioquia,Medellín,,050035,6.2529,-75.5646,10,,CO,,,,,,262220,HV TELEVISION S.A.S,,Hv Television S.a.s,Hv Television S.a.s,2.8,residential,99,90,20,10,,,,1,,,,1,
183.30.183.198,183.30.183.192/28,AS,Asia,,CN,China,GD,Guangdong,Guangzhou,,,23.1167,113.25,100,,CN,,,,,,4134,"No.31,Jin-rong Street",,China Telecom,China Telecom,5,residential,99,80,60,,,,,,,,,,
45.61.189.38,45.61.189.0/24,NA,North America,,US,United States,NY,New York,New York,501,10001,40.7503,-74.0014,1,,US,,,,,,8100,QuadraNet Enterprises LLC,advisoryelectronics.eu,QuadraNet,QuadraNet,,hosting,99,99,99,99,13269,62342,,1,,,1,,
113.81.28.153,113.81.28.144/28,AS,Asia,,CN,China,GD,Guangdong,Guangzhou,,,23.1167,113.25,50,,CN,,,,,,4134,"No.31,Jin-rong Street",,China Telecom,China Telecom,4.7,residential,99,90,60,,,,,,,,,,
37.115.197.74,37.115.197.72/30,EU,Europe,,UA,Ukraine,30,Kyiv City,Kyiv,,03170,50.4543,30.5251,20,,UA,,,,,,15895,Kyivstar PJSC,kyivstar.net,Kyivstar PJSC,Kyivstar,32.6,residential,80,70,60,1,,,,,,,,,
192.227.215.92,192.227.215.92/30,NA,North America,,US,United States,NY,New York,Buffalo,514,14205,42.8864,-78.8784,500,,US,,,,,,36352,ColoCrossing,colocrossing.com,ColoCrossing,ColoCrossing,,hosting,99,30,10,1,676,23918,,1,,,1,,
196.16.81.180,196.16.81.160/27,EU,Europe,1,GB,United Kingdom,ENG,England,London,,EC2V,51.5164,-0.093,50,,SC,,,,,,9009,M247 Ltd,,"Victoria, Mahe",M247 Ltd,,hosting,99,60,20,0,,,,1,,,1,,
196.16.81.181,196.16.81.160/27,EU,Europe,1,GB,United Kingdom,ENG,England,London,,EC2V,51.5164,-0.093,50,,SC,,,,,,9009,M247 Ltd,,"Victoria, Mahe",M247 Ltd,,hosting,99,60,20,0,,,,1,,,1,,
107.158.221.106,107.158.221.96/27,EU,Europe,1,NL,Netherlands,NH,North Holland,Amsterdam,,1091,52.3534,4.9087,1000,,US,,,,,,49532,Eonix Corporation,,Eonix Corporation,Eonix Corporation,,hosting,80,20,10,10,1885,25597,,1,,,1,,
193.228.56.153,193.228.56.128/26,EU,Europe,1,IT,Italy,MI,Milan,Milan,,20121,45.4681,9.2011,500,1,IT,,,,,,204287,HostRoyale Technologies Pvt Ltd,,Rackspot LLC,Rackspot LLC,,hosting,99,,0,0,,,,1,,,1,,
63.141.229.170,63.141.228.0/23,NA,North America,,US,United States,,,,,,37.751,-97.822,1000,,US,,,,,,33387,"DataShack, LC",,"DataShack, LC","DataShack, LC",,hosting,99,,,,1323,25933,,1,,,1,,
165.231.130.31,165.231.130.16/28,EU,Europe,1,SE,Sweden,,,,,,59.3247,18.056,50,1,SE,,,,,,58065,Packet Exchange Limited,,Fiber Grid Inc,Packet Exchange Limited,,hosting,99,,,,,,,1,,,1,,
